precip,mon,day,yr
10.9,1,1,2001
7.76,1,2,2001
22.3,1,3,2001
5.79E-02,1,4,2001
0.523,1,5,2001
3.02,1,6,2001
6.63,1,7,2001
0.133,1,8,2001
0,1,9,2001
0,1,10,2001
0,1,11,2001
0,1,12,2001
0,1,13,2001
0,1,14,2001
0,1,15,2001
0,1,16,2001
3.73E-02,1,17,2001
0,1,18,2001
0,1,19,2001
4.21,1,20,2001
1.28,1,21,2001
8.03,1,22,2001
17.8,1,23,2001
8.77,1,24,2001
12.3,1,25,2001
2.06E-02,1,26,2001
0,1,27,2001
0.799,1,28,2001
12.8,1,29,2001
6.63,1,30,2001
1.76E-03,1,31,2001
14,2,1,2001
25.1,2,2,2001
10.7,2,3,2001
17.8,2,4,2001
15.6,2,5,2001
6.96,2,6,2001
18.7,2,7,2001
0,2,8,2001
1.72,2,9,2001
28.8,2,10,2001
32.2,2,11,2001
9.35E-04,2,12,2001
0,2,13,2001
0,2,14,2001
1.49,2,15,2001
0,2,16,2001
0,2,17,2001
0.554,2,18,2001
2.39,2,19,2001
2.14,2,20,2001
4.75,2,21,2001
2.67,2,22,2001
0.538,2,23,2001
1.97,2,24,2001
10.5,2,25,2001
8.31,2,26,2001
6.07,2,27,2001
0.94,2,28,2001
6.63E-02,3,1,2001
0,3,2,2001
0,3,3,2001
0,3,4,2001
0,3,5,2001
10.1,3,6,2001
3.1,3,7,2001
6.07,3,8,2001
18.5,3,9,2001
2.22,3,10,2001
5.91,3,11,2001
7.4,3,12,2001
3.45E-02,3,13,2001
0,3,14,2001
4.13,3,15,2001
4.4,3,16,2001
3.19,3,17,2001
2.16E-02,3,18,2001
0,3,19,2001
8.38,3,20,2001
27.4,3,21,2001
2.31,3,22,2001
2.16E-02,3,23,2001
0,3,24,2001
0,3,25,2001
7.3,3,26,2001
10.1,3,27,2001
1.67,3,28,2001
0.478,3,29,2001
12.5,3,30,2001
6.93,3,31,2001
1.88,4,1,2001
1.72,4,2,2001
25.1,4,3,2001
3.4,4,4,2001
38,4,5,2001
22.6,4,6,2001
3.71,4,7,2001
17.2,4,8,2001
6.94,4,9,2001
3.66,4,10,2001
0,4,11,2001
0.972,4,12,2001
2.59,4,13,2001
17.9,4,14,2001
0.617,4,15,2001
2.16E-02,4,16,2001
4.9,4,17,2001
1.62,4,18,2001
0.972,4,19,2001
0,4,20,2001
12.1,4,21,2001
22.4,4,22,2001
1.24,4,23,2001
12.1,4,24,2001
1.79,4,25,2001
2.16E-02,4,26,2001
9.2,4,27,2001
13.1,4,28,2001
4.12,4,29,2001
2.16E-02,4,30,2001
0.124,5,1,2001
0,5,2,2001
0,5,3,2001
0,5,4,2001
0,5,5,2001
0,5,6,2001
0,5,7,2001
0,5,8,2001
14.1,5,9,2001
4.54,5,10,2001
0,5,11,2001
0,5,12,2001
4.7,5,13,2001
2.02,5,14,2001
1.78,5,15,2001
7.53,5,16,2001
1.69,5,17,2001
0,5,18,2001
0,5,19,2001
0,5,20,2001
0,5,21,2001
0,5,22,2001
0,5,23,2001
0,5,24,2001
1.21,5,25,2001
19,5,26,2001
21.3,5,27,2001
1.06,5,28,2001
3.73E-02,5,29,2001
4.01,5,30,2001
2.34,5,31,2001
2.93,6,1,2001
9.93E-02,6,2,2001
0,6,3,2001
0,6,4,2001
0,6,5,2001
4.36,6,6,2001
0.353,6,7,2001
0.278,6,8,2001
0.262,6,9,2001
3.73E-02,6,10,2001
0,6,11,2001
1.88E-02,6,12,2001
0,6,13,2001
18.8,6,14,2001
2.06,6,15,2001
0.452,6,16,2001
9.47E-02,6,17,2001
8.58,6,18,2001
13.7,6,19,2001
3.73E-02,6,20,2001
0,6,21,2001
0,6,22,2001
0,6,23,2001
0,6,24,2001
0,6,25,2001
0.816,6,26,2001
1.46,6,27,2001
3.71,6,28,2001
3.5,6,29,2001
0.154,6,30,2001
0,7,1,2001
3.18E-02,7,2,2001
22.4,7,3,2001
3.34,7,4,2001
0,7,5,2001
1.05,7,6,2001
3.67,7,7,2001
0.718,7,8,2001
6.71,7,9,2001
7.11,7,10,2001
3,7,11,2001
