precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
10.9,0,16.8,0.407,9.47,9.88,0.128,0.233,0,0,8.78E-03,0.407,43.3,231,235,233,55.9,25.5,0,12.7,0.241,0,0,0,0,0,0.407,0,0,9.47,0,0,2.34
7.76,0,8.57,0.335,11.4,11.7,0.11,0.229,0,0,8.47E-03,0.335,43.3,235,234,234,55.8,0,0,0,0.236,0,0,0,0,0,0.335,0,0,11.4,0,0,3.42
22.3,0,0.111,0.786,13.9,14.7,0.129,0.389,0,0,1.78E-02,0.786,43.3,234,236,235,55.9,0,0,0,0.398,0,0,0,0,0,0.786,0,0,13.9,0,0,4.19
5.79E-02,0,0,9.66E-07,10.4,10.4,7.51E-02,0.266,0,0,1.42E-02,0,43.3,236,233,234,54.8,0,0,0,0.272,0,0,0,0,0,0,0,0,10.4,0,0,2.98
0.523,0,0,9.66E-07,7.66,7.66,6.66E-02,9.85E-03,0,0,4.73E-04,0,43.3,233,232,233,54.6,0,0,0,1.01E-02,0,0,0,0,0,0,0,0,7.66,0,0,2.12
3.02,0,0,1.52E-04,6.39,6.39,6.94E-02,0.483,0,0,2.21E-02,1.51E-04,43.3,232,232,232,54.6,0,0,0,0.492,0,0,0,0,0,1.51E-04,0,0,6.39,0,0,1.76
6.63,0,0,1.40E-02,6.27,6.28,7.61E-02,0.636,0,0,2.82E-02,1.40E-02,43.3,232,232,232,54.7,0,0,0,0.648,0,0,0,0,0,1.40E-02,0,0,6.27,0,0,1.68
0.133,0,0,9.66E-07,4.63,4.63,5.92E-02,0.356,0,0,1.78E-02,0,43.3,232,231,231,54.5,0,0,0,0.364,0,0,0,0,0,0,0,0,4.63,0,0,1.18
0,0,0,9.66E-07,3.44,3.44,5.55E-02,5.90E-02,0,0,3.89E-03,0,43.3,231,230,231,54.4,0,0,0,6.03E-02,0,0,0,0,0,0,0,0,3.44,0,0,0.838
0,0,0,9.66E-07,2.57,2.57,5.23E-02,0.523,0,1.72E-03,5.37E-02,0,43.3,230,230,230,54.3,0,0,0,0.609,0,0,0,0,0,0,0,0,2.57,0,0,0.598
0,0,0,9.66E-07,1.94,1.94,4.96E-02,0.49,0,1.39E-02,0.229,0,43.3,230,229,229,54,0,0,0,1.15,0,0,0,0,0,0,0,0,1.94,0,0,0.427
0,0,0,9.66E-07,1.48,1.48,4.72E-02,0.223,0,8.29E-03,0.132,0,43.3,229,229,229,53.8,0,0,0,0.619,0,0,0,0,0,0,0,0,1.48,0,0,0.304
0,0,0,9.66E-07,1.14,1.14,4.51E-02,0.119,0,4.91E-03,8.09E-02,0,43.3,229,228,228,53.6,0,0,0,0.353,0,0,0,0,0,0,0,0,1.14,0,0,0.219
0,0,0,9.66E-07,0.891,0.891,4.33E-02,0.144,0,6.00E-03,9.94E-02,0,43.3,228,228,228,53.5,0,0,0,0.431,0,0,0,0,0,0,0,0,0.891,0,0,0.158
0,0,0,9.66E-07,0.707,0.707,4.16E-02,5.99E-02,0,2.66E-03,4.51E-02,0,43.3,228,227,227,53.3,0,0,0,0.187,0,0,0,0,0,0,0,0,0.707,0,0,0.115
0,0,0,9.66E-07,0.569,0.569,4.01E-02,0.108,0,4.53E-03,7.56E-02,0,43.3,227,227,227,53.2,0,0,0,0.323,0,0,0,0,0,0,0,0,0.569,0,0,8.43E-02
3.73E-02,3.57E-03,9.14E-04,9.66E-07,0.466,0.466,3.88E-02,0.109,0,3.07E-03,5.44E-02,0,43.8,227,227,227,53.1,0,0,0,0.254,0,0,0,0,0,0,0,0,0.466,0,0,6.27E-02
